casa-110108-112108.1,fiu,arc,422855,581647,1003861,0,74,0.0005,unique,42.1,44.54,FIU
casa-110108-112108.1,fiu,arc,540231,464271,1003861,0,149,0.001,unique,53.78,41.89,FIU
casa-110108-112108.1,fiu,arc,736126,268376,1003726,0,749,0.005,unique,73.28,40.51,FIU
casa-110108-112108.1,fiu,arc,749747,254755,1003698,0,1498,0.01,unique,74.64,40.79,FIU
casa-110108-112108.1,fiu,arc,776430,228072,1003432,0,7492,0.05,unique,77.3,40.33,FIU
casa-110108-112108.1,fiu,arc,798125,206377,1003432,0,14984,0.1,unique,79.45,39.05,FIU
casa-110108-112108.2,fiu,arc,251373,809875,1061248,0,48,0.0005,unique,23.69,54.89,FIU
casa-110108-112108.2,fiu,arc,552525,508723,1061248,0,96,0.001,unique,52.06,47.28,FIU
casa-110108-112108.2,fiu,arc,809228,252020,1061248,0,480,0.005,unique,76.25,44.41,FIU
casa-110108-112108.2,fiu,arc,839950,221298,1061248,0,960,0.01,unique,79.15,43.97,FIU
casa-110108-112108.2,fiu,arc,867503,193745,1061248,0,4802,0.05,unique,81.74,43.41,FIU
casa-110108-112108.2,fiu,arc,876138,185110,1061248,0,9605,0.1,unique,82.56,42.74,FIU
casa-110108-112108.3,fiu,arc,509357,624235,1133592,0,67,0.0005,unique,44.93,49.84,FIU
casa-110108-112108.3,fiu,arc,563896,569696,1133592,0,135,0.001,unique,49.74,48.83,FIU
casa-110108-112108.3,fiu,arc,825616,307976,1133592,0,676,0.005,unique,72.83,46.06,FIU
casa-110108-112108.3,fiu,arc,854632,278960,1133592,0,1352,0.01,unique,75.39,45.77,FIU
casa-110108-112108.3,fiu,arc,876579,257013,1133592,0,6764,0.05,unique,77.33,45.14,FIU
casa-110108-112108.3,fiu,arc,886939,246653,1133592,0,13529,0.1,unique,78.24,45.3,FIU
casa-110108-112108.4,fiu,arc,517024,749303,1266327,0,74,0.0005,unique,40.83,56.06,FIU
casa-110108-112108.4,fiu,arc,594145,672182,1266327,0,149,0.001,unique,46.92,54.55,FIU
casa-110108-112108.4,fiu,arc,854428,411899,1266327,0,749,0.005,unique,67.47,51.88,FIU
casa-110108-112108.4,fiu,arc,877043,389284,1266327,0,1499,0.01,unique,69.26,53.78,FIU
casa-110108-112108.4,fiu,arc,961962,304365,1266327,0,7499,0.05,unique,75.96,50.46,FIU
casa-110108-112108.4,fiu,arc,992493,273834,1266157,0,14998,0.1,unique,78.38,49.55,FIU
casa-110108-112108.5,fiu,arc,478118,665660,1143778,0,61,0.0005,unique,41.8,51.72,FIU
casa-110108-112108.5,fiu,arc,537776,606002,1143778,0,122,0.001,unique,47.02,51.33,FIU
casa-110108-112108.5,fiu,arc,839133,304645,1143778,0,610,0.005,unique,73.37,47.95,FIU
casa-110108-112108.5,fiu,arc,868320,275458,1143778,0,1220,0.01,unique,75.92,47.78,FIU
casa-110108-112108.5,fiu,arc,936400,207378,1143778,0,6100,0.05,unique,81.87,47.09,FIU
casa-110108-112108.5,fiu,arc,941765,202013,1143778,0,12201,0.1,unique,82.34,46.65,FIU
casa-110108-112108.6,fiu,arc,509436,766845,1276281,0,69,0.0005,unique,39.92,59.21,FIU
casa-110108-112108.6,fiu,arc,580664,695617,1276281,0,139,0.001,unique,45.5,56.29,FIU
casa-110108-112108.6,fiu,arc,847915,428366,1276281,0,696,0.005,unique,66.44,53.33,FIU
casa-110108-112108.6,fiu,arc,893304,382977,1276281,0,1393,0.01,unique,69.99,52.86,FIU
casa-110108-112108.6,fiu,arc,996735,279546,1276281,0,6966,0.05,unique,78.1,51.91,FIU
casa-110108-112108.6,fiu,arc,1017141,259140,1276280,0,13932,0.1,unique,79.7,51.51,FIU
casa-110108-112108.7,fiu,arc,313630,832153,1145783,0,55,0.0005,unique,27.37,54.71,FIU
casa-110108-112108.7,fiu,arc,546740,599043,1145783,0,110,0.001,unique,47.72,53.51,FIU
casa-110108-112108.7,fiu,arc,848785,296998,1145783,0,552,0.005,unique,74.08,48.72,FIU
casa-110108-112108.7,fiu,arc,881604,264179,1145783,0,1105,0.01,unique,76.94,48.81,FIU
casa-110108-112108.7,fiu,arc,933364,212419,1145783,0,5528,0.05,unique,81.46,47.67,FIU
casa-110108-112108.7,fiu,arc,948152,197631,1145783,0,11057,0.1,unique,82.75,47.29,FIU
casa-110108-112108.8,fiu,arc,54,13922,13976,0,4,0.0005,unique,0.39,0.81,FIU
casa-110108-112108.8,fiu,arc,54,13922,13976,0,4,0.001,unique,0.39,0.78,FIU
casa-110108-112108.8,fiu,arc,336,13640,13976,0,11,0.005,unique,2.4,0.82,FIU
casa-110108-112108.8,fiu,arc,982,12994,13976,0,22,0.01,unique,7.03,0.9,FIU
casa-110108-112108.8,fiu,arc,7195,6781,13976,0,110,0.05,unique,51.48,0.85,FIU
casa-110108-112108.8,fiu,arc,11055,2921,13976,0,220,0.1,unique,79.1,0.71,FIU
casa-110108-112108.9,fiu,arc,435789,583619,1019408,0,88,0.0005,unique,42.75,44.13,FIU
casa-110108-112108.9,fiu,arc,632234,387174,1019408,0,176,0.001,unique,62.02,42.43,FIU
casa-110108-112108.9,fiu,arc,701243,318165,1019408,0,881,0.005,unique,68.79,42.36,FIU
casa-110108-112108.9,fiu,arc,704745,314663,1019408,0,1763,0.01,unique,69.13,42.07,FIU
casa-110108-112108.9,fiu,arc,731349,288059,1019408,0,8815,0.05,unique,71.74,41.73,FIU
casa-110108-112108.9,fiu,arc,772898,246510,1019401,0,17630,0.1,unique,75.82,40.94,FIU
